feature,original_index,shap_importance
feature_380,444,0.0043739965
feature_538,602,0.0043735085
feature_732,796,0.004332064
feature_823,887,0.0043302984
feature_331,395,0.004327265
feature_14,78,0.0043266118
feature_470,534,0.004323726
feature_86,150,0.004320397
feature_297,361,0.00431955
feature_176,240,0.0043100445
feature_934,998,0.0042923857
feature_218,282,0.0042817798
feature_976,1040,0.0042722416
feature_872,936,0.0042225723
feature_162,226,0.004219451
feature_798,862,0.004188337
feature_811,875,0.0041551255
feature_378,442,0.0041498095
feature_385,449,0.004142984
feature_258,322,0.0041093733
feature_902,966,0.0040991115
feature_739,803,0.0040912805
feature_334,398,0.0040910346
feature_291,355,0.004070495
feature_850,914,0.004052476
feature_523,587,0.004046901
feature_706,770,0.0040444783
feature_0,64,0.0040393034
feature_681,745,0.004031438
feature_318,382,0.0040212986
feature_536,600,0.00399212
feature_50,114,0.003975609
feature_650,714,0.003960218
feature_755,819,0.003959721
feature_143,207,0.0039510266
feature_359,423,0.00394559
feature_641,705,0.003939024
feature_222,286,0.0039383997
feature_705,769,0.0039359
feature_718,782,0.003931173
feature_749,813,0.0039290427
feature_917,981,0.0039268127
feature_828,892,0.003925909
feature_599,663,0.00392271
feature_386,450,0.003920742
feature_95,159,0.003915716
feature_589,653,0.0039148135
feature_930,994,0.0039012516
feature_339,403,0.0038781716
feature_425,489,0.0038779015
feature_698,762,0.0038595821
feature_306,370,0.003854736
feature_612,676,0.0038514566
feature_210,274,0.0038377338
feature_191,255,0.003819535
feature_1003,1067,0.0038009312
feature_159,223,0.003794756
feature_33,97,0.0037910782
feature_261,325,0.003769534
feature_919,983,0.003769482
feature_161,225,0.003745465
feature_637,701,0.0037396152
feature_58,122,0.0037386166
feature_633,697,0.0037351616
feature_626,690,0.0037298286
feature_543,607,0.0037225173
feature_908,972,0.003710645
feature_148,212,0.0037080052
feature_356,420,0.003707352
feature_621,685,0.0036907662
feature_628,692,0.0036887664
feature_725,789,0.0036885755
feature_528,592,0.0036852923
feature_260,324,0.0036745064
feature_1006,1070,0.0036555987
feature_254,318,0.0036513596
feature_954,1018,0.0036337804
feature_485,549,0.0036188324
feature_533,597,0.0036123786
feature_846,910,0.0035833817
feature_319,383,0.0035773627
feature_343,407,0.003576262
feature_221,285,0.0035629547
feature_353,417,0.0035608262
feature_840,904,0.0035444957
feature_53,117,0.0035335827
feature_758,822,0.0035298676
feature_129,193,0.0035279884
feature_311,375,0.0035230312
feature_750,814,0.0035167206
feature_955,1019,0.0035137914
feature_875,939,0.0035073147
feature_645,709,0.0035024728
feature_651,715,0.0034930164
feature_786,850,0.0034879025
feature_396,460,0.0034867688
feature_929,993,0.0034821327
feature_896,960,0.0034808738
feature_193,257,0.003473922
feature_77,141,0.0034735692
feature_925,989,0.003464465
feature_25,89,0.0034634995
feature_1007,1071,0.003457383
feature_827,891,0.0034440246
feature_429,493,0.0034419307
feature_669,733,0.0034361267
feature_362,426,0.0034264557
feature_379,443,0.0034260345
feature_458,522,0.0034185124
feature_900,964,0.0034098744
feature_931,995,0.0033970643
feature_42,106,0.0033951243
feature_791,855,0.0033813468
feature_214,278,0.0033744706
feature_648,712,0.003369791
feature_883,947,0.0033662114
feature_114,178,0.0033642799
feature_2,66,0.0033613949
feature_829,893,0.0033424492
feature_671,735,0.0033304824
feature_402,466,0.0033275029
feature_989,1053,0.0033273029
feature_717,781,0.003318632
feature_813,877,0.003313656
feature_98,162,0.0033003793
feature_471,535,0.0032962833
feature_327,391,0.0032913468
feature_697,761,0.0032894684
feature_406,470,0.003280283
feature_824,888,0.003279525
feature_160,224,0.0032785488
feature_699,763,0.0032755032
feature_41,105,0.0032547284
feature_572,636,0.003250954
feature_175,239,0.003248002
feature_522,586,0.0032435684
feature_674,738,0.0032408033
feature_451,515,0.0032329918
feature_816,880,0.0032080158
feature_43,107,0.0032026127
feature_882,946,0.0031979058
feature_272,336,0.003196012
feature_238,302,0.0031959212
feature_834,898,0.0031954665
feature_839,903,0.0031766337
feature_557,621,0.0031714444
feature_369,433,0.0031713783
feature_579,643,0.0031709736
feature_97,161,0.0031628434
feature_980,1044,0.0031616704
feature_466,530,0.0031444568
feature_147,211,0.003141623
feature_296,360,0.0031404882
feature_986,1050,0.0031401517
feature_205,269,0.0031376819
feature_666,730,0.0031262743
feature_372,436,0.0031200354
feature_310,374,0.0031182244
feature_975,1039,0.0031066537
feature_950,1014,0.003093865
feature_299,363,0.0030849038
feature_558,622,0.0030731785
feature_870,934,0.0030668837
feature_278,342,0.003063652
feature_761,825,0.0030557304
feature_68,132,0.0030496337
feature_588,652,0.003047774
feature_953,1017,0.0030465915
feature_586,650,0.0030427987
feature_937,1001,0.0030419515
feature_729,793,0.0030344266
feature_1017,1081,0.0030325856
feature_152,216,0.0030315407
feature_643,707,0.0030311004
feature_804,868,0.003030617
feature_73,137,0.0030230053
feature_874,938,0.0030183424
feature_615,679,0.003010255
feature_271,335,0.0030043833
feature_942,1006,0.0030024585
feature_72,136,0.0029972077
feature_478,542,0.0029960421
feature_347,411,0.002993122
feature_532,596,0.0029923036
feature_427,491,0.0029867901
feature_912,976,0.0029858327
feature_371,435,0.0029841962
feature_446,510,0.0029822127
feature_167,231,0.0029784772
feature_144,208,0.002974612
feature_18,82,0.002971174
feature_926,990,0.00296415
feature_789,853,0.002961092
feature_6,70,0.002957859
feature_609,673,0.0029556227
feature_265,329,0.0029529284
feature_539,603,0.00295088
feature_392,456,0.0029389702
feature_288,352,0.0029388617
feature_966,1030,0.0029370803
feature_352,416,0.0029268453
feature_822,886,0.0029237687
feature_803,867,0.0029038342
feature_901,965,0.002899182
feature_517,581,0.002889715
feature_868,932,0.002883707
feature_47,111,0.0028816648
feature_845,909,0.0028774547
feature_324,388,0.0028740708
feature_236,300,0.002869133
feature_796,860,0.0028642633
feature_282,346,0.0028607375
feature_652,716,0.0028552033
feature_833,897,0.002855175
feature_687,751,0.0028531076
feature_366,430,0.0028390435
feature_240,304,0.0028381252
feature_445,509,0.0028356407
feature_481,545,0.0028350723
feature_647,711,0.002819234
feature_876,940,0.002811111
feature_962,1026,0.0028109795
feature_783,847,0.0028085029
feature_559,623,0.002795222
feature_890,954,0.0027885498
feature_467,531,0.0027754023
feature_459,523,0.002774391
feature_418,482,0.002773323
feature_984,1048,0.0027715731
feature_92,156,0.0027696618
feature_814,878,0.0027646716
feature_168,232,0.002759276
feature_971,1035,0.0027482337
