Metric,mean,std
SN,0.7706543995960843,0.01786775366848859
SP,0.9275206846591748,0.008265194084314179
ACC,0.8908483720112752,0.008737025440588823
MCC,0.6963494082962346,0.02325931162853323
AUC,0.9388925965886002,0.006409722691054174
AUPR,0.8345106223383247,0.020718249067682853
